,BlobID,Compound.Name,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber,Identifiable,tic,cluster_assigned,totorgnorm_cumsum,isnormnormptnorm_cumsum,quantcumsum,quant_pct,quant_pct_cumulative,rownum,cluster_factor_types,cluster_group,order,cluster_factor_types.f
198,775,20200803_1535_blob_775_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2634.951456,NA,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",768,800,NA,C30H52O2,444,NA,NA,NA,NA,NA,1,2,NA,13460.87874,8.111894457,0.000611022,0.918237902,138,Anthro1,Anthropogenic,1,Anthro1
54,700,20200803_1535_blob_700_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2293.333333,NA,"Pyrene, 4-methyl-",855,910,2259,C17H12,216,NA,NA,NA,NA,TRUE,1,2,0.033621391,11181.24135,8.096342357,0.000609851,0.918847753,139,Anthro1,Anthropogenic,1,Anthro1
298,890,20200803_1535_blob_890_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1639.240506,NA,(2-(4-Isopropylphenyl)propan-2-ylperoxy)trimethylsilane,730,742,NA,C15H26O2Si,266,NA,NA,NA,NA,NA,1,2,NA,4058.511655,8.052191558,0.000606525,0.919454278,140,Anthro1,Anthropogenic,1,Anthro1
217,905,20200803_1535_blob_905_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2619.417476,NA,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",758,813,NA,C30H52O2,444,NA,NA,NA,NA,NA,1,2,0.022165511,8648.240475,7.719930024,0.000581498,0.921237376,143,Anthro1,Anthropogenic,1,Anthro1
223,832,20200803_1535_blob_832_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2749.514563,NA,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",755,846,NA,C33H56,452,NA,NA,NA,NA,NA,1,2,0.020613045,6696.635146,7.682975114,0.000578714,0.922976394,146,Anthro1,Anthropogenic,1,Anthro1
74,550,20200803_1535_blob_550_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2390,NA,17-Pentatriacontene,837,837,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,NA,18467.3879,7.576842233,0.00057072,0.923547114,147,Anthro1,Anthropogenic,1,Anthro1
96,637,20200803_1535_blob_637_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2335,NA,17-Pentatriacontene,823,823,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,NA,20149.64765,7.492660377,0.000564379,0.924111493,148,Anthro1,Anthropogenic,1,Anthro1
100,648,20200803_1535_blob_648_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2306.666667,NA,17-Pentatriacontene,821,821,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,NA,20870.50836,7.475980671,0.000563123,0.925238862,150,Anthro1,Anthropogenic,1,Anthro1
84,484,20200803_1535_blob_484_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2348.333333,NA,"Tetracosane, 11-decyl-",830,831,NA,C34H70,478,NA,NA,NA,NA,TRUE,1,2,0.062533624,19341.26017,7.070668778,0.000532593,0.926878276,153,Anthro1,Anthropogenic,1,Anthro1
56,688,20200803_1535_blob_688_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2192.366412,NA,"Phenanthrene, 2,3,5-trimethyl-",853,886,NA,C17H16,220,NA,NA,NA,NA,TRUE,1,2,NA,15393.48175,7.039488176,0.000530244,0.92740852,154,Anthro1,Anthropogenic,1,Anthro1
450,533,20200803_1535_blob_533_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2029.007634,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",686,698,NA,C16H50O7Si8,578,NA,NA,NA,NA,NA,1,2,NA,16976.18067,7.037288625,0.000530078,0.928468728,156,Anthro1,Anthropogenic,1,Anthro1
249,732,20200803_1535_blob_732_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2303.333333,NA,9-Phenyl-5H-benzocycloheptene,746,836,NA,C17H14,218,NA,NA,NA,NA,NA,1,2,0.042782417,14592.24685,6.664140207,0.000501971,0.930004163,159,Anthro1,Anthropogenic,1,Anthro1
502,790,20200803_1535_blob_790_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2609.708738,NA,"4,4,6a,6b,8a,11,12,14b-Octamethyl-docosahydropicene-3,13-diol",674,706,NA,C30H52O2,444,NA,NA,NA,NA,NA,1,2,0.029025763,8307.370981,6.246067685,0.00047048,0.932916943,165,Anthro1,Anthropogenic,1,Anthro1
199,726,20200803_1535_blob_726_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2592.792793,NA,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",767,794,NA,C30H52O2,444,NA,NA,NA,NA,NA,1,2,0.035160295,10766.50221,6.044751274,0.000455316,0.93429611,168,Anthro1,Anthropogenic,1,Anthro1
648,825,20200803_1535_blob_825_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2278.333333,NA,"Anthiaergosta-5,7,9-trien-3-one",632,678,NA,C28H42O,394,NA,NA,NA,NA,NA,1,2,0.03096667,10527.67079,5.990264067,0.000451212,0.93519974,170,Anthro1,Anthropogenic,1,Anthro1
553,676,20200803_1535_blob_676_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2164.885496,NA,"Thiourea, 1-(2-chlorophenyl)-3-(pyridin-3-yl)-",661,684,NA,C12H10ClN3S,263,NA,NA,NA,NA,NA,1,2,NA,11443.62506,5.98148977,0.000450551,0.935650291,171,Anthro1,Anthropogenic,1,Anthro1
457,697,20200803_1535_blob_697_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2386.666667,NA,"1-Phenanthrenecarboxylic acid, 1,2,3,4,4a,4b,5,9,10,10a-decahydro-1,4a-dimethyl-7-(1-methylethyl)-, ethyl ester, [1R-(1<e4><U+0096>,4a??,4b<e4><U+0096>,10a<e4><U+0096>)]-",685,742,NA,C22H34O2,330,NA,NA,NA,NA,NA,1,2,NA,16308.77491,5.832580436,0.000439335,0.937871251,176,Anthro1,Anthropogenic,1,Anthro1
303,795,20200803_1535_blob_795_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1737.974684,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",728,748,NA,C16H50O7Si8,578,NA,NA,NA,NA,NA,1,2,NA,4513.225849,5.798444992,0.000436763,0.938745001,178,Anthro1,Anthropogenic,1,Anthro1
81,537,20200803_1535_blob_537_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2409.009009,NA,17-Pentatriacontene,831,831,NA,C35H70,490,NA,NA,NA,NA,TRUE,1,2,0.040961796,13363.07957,5.659985414,0.000426334,0.939605659,180,Anthro1,Anthropogenic,1,Anthro1
61,653,20200803_1535_blob_653_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2276.666667,NA,"Eicosane, 7-hexyl-",850,852,NA,C26H54,366,NA,NA,NA,NA,TRUE,1,2,0.043879419,14866.96898,5.552177971,0.000418214,0.940449612,182,Anthro1,Anthropogenic,1,Anthro1
725,752,20200803_1535_blob_752_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1840.277778,NA,2-(Methylthio)phenyl isothiocyanate,595,798,NA,C8H7NS2,181,NA,NA,NA,NA,NA,1,2,NA,13364.30416,5.530102426,0.000416551,0.940866163,183,Anthro1,Anthropogenic,1,Anthro1
399,682,20200803_1535_blob_682_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,1952.777778,NA,"Cyclohexanol, 5-methyl-2-(1-methyl-1-phenylethyl)-",699,751,NA,C16H24O,232,NA,NA,NA,NA,NA,1,2,NA,23574.92399,5.501814598,0.00041442,0.941280583,184,Anthro1,Anthropogenic,1,Anthro1
304,762,20200803_1535_blob_762_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2350,NA,"Podocarpa-8,11,13-triene-7??,13-diol, 14-isopropyl-",727,789,NA,C20H30O2,302,NA,NA,NA,NA,NA,1,2,NA,11919.57175,5.477250788,0.00041257,0.941693153,185,Anthro1,Anthropogenic,1,Anthro1
437,802,20200803_1535_blob_802_,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2286.666667,NA,Phorbol,689,690,NA,C20H28O6,364,NA,NA,NA,NA,NA,1,2,0.030689054,10091.69871,5.304526733,0.000399559,0.942499903,187,Anthro1,Anthropogenic,1,Anthro1
259,885,20200803_1535_blob_885_oil,caice_ssa_final_0803_1535,999,999,NA,NA,NA,2691.262136,NA,"2,2,4-Trimethyl-3-(3,8,12,16-tetramethyl-heptadeca-3,7,11,15-tetraenyl)-cyclohexanol",743,763,NA,C30H52O,428,NA,NA,NA,NA,NA,1,2,0.025530608,7940.663639,5.145832066,0.000387606,0.942887509,188,Anthro1,Anthropogenic,1,Anthro1
