Compound.Name,Mixed_Aggregates_pct,Diatom_Dominated_Aggregates_pct,Dinoflagellates_pct,Microzooplankton_pct,Diatoms_pct,Haptophytes_pct,Cell_Numbers,Mixed_Aggregates,Diatom_Dominated_Aggregates,Dinoflagellates,Microzooplankton,Diatoms,Haptophytes,HB_cells_L,Virus_L,Chlor_a
20200803_0949_blob_1128_oil,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1129_oil,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1134_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1138_,0.48737104,-0.616460813,0.530318525,-0.78608236,0.307850536,-0.702830193,-0.229152275,0.538434073,-0.389226889,0.086509363,-0.846729719,0.059302991,-0.773717655,-0.56079895,-0.9378038,0.179379227
20200803_0949_blob_1139_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1140_,-0.352390877,0.563880153,-0.37164482,0.590162475,-0.159169321,0.32213545,0.181225085,-0.321267413,0.309969133,-0.08157712,0.479753939,0.046412359,0.311725019,0.386167023,0.536103864,-0.129800158
20200803_0949_blob_1142_,-0.280627131,0.541370233,-0.22938919,-0.346024435,0.232594902,-0.26866426,0.510228248,-0.21608041,0.588710526,0.309094131,-0.280255897,0.50467816,-0.147412663,0.007746704,-0.128059039,0.107588276
20200803_0949_blob_1144_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1161_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1163_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20200803_0949_blob_1166_oil,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1168_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1172_,0.090908432,0.237121554,0.298733085,-0.395778483,-0.097746667,-0.411254925,0.282590596,0.173571427,0.345829965,0.425321845,-0.359475734,0.237651662,-0.319788742,-0.329757829,-0.322811,-0.003865668
20200803_0949_blob_1173_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1177_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1183_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1194_,-0.266073833,0.528081576,-0.182026068,-0.347594522,0.199013962,-0.274720839,0.477383024,-0.186242043,0.557964784,0.36641429,-0.290863021,0.455459559,-0.172452799,0.018603438,-0.12581838,0.122764815
20200803_0949_blob_1195_,-0.264621962,0.526150836,-0.178752226,-0.346952663,0.196544332,-0.274507143,0.474367559,-0.184027687,0.554906326,0.369131412,-0.290892505,0.451492378,-0.173613483,0.019228528,-0.125426653,0.123442567
20200803_0949_blob_1210_,-0.267108523,0.529430548,-0.184423941,-0.34801633,0.200813247,-0.274836646,0.479543681,-0.187854135,0.560144818,0.364344023,-0.29079612,0.458328877,-0.171565967,0.018137592,-0.126089946,0.122244526
20200803_0949_blob_1214_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1220_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1225_,-0.171401637,0.236586964,-0.242303354,-0.349539145,0.474647407,-0.273513711,0.474191567,0.189555709,0.343342586,0.246089731,-0.287194759,0.626084047,-0.163519264,0.176414692,-0.228346239,0.404861863
20200803_0949_blob_1227_,0.135956576,-0.185600095,-0.147732867,-0.410859456,-0.086381893,-0.363534211,-0.147579864,-0.246689226,-0.060981274,-0.271670597,-0.444256041,-0.11857886,-0.429836993,-0.463681645,-0.466207155,-0.242657869
20200803_0949_blob_1231_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1237_oil,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1238_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1243_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.19142577,-0.227826701,0.184299316
20200803_0949_blob_1249_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20200803_0949_blob_1271_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1273_,0.096024094,-0.361791395,-0.018504738,0.049023036,-0.060810316,-0.271716859,-0.306849826,-0.036299697,-0.319934501,-0.371973733,-0.024300309,-0.261421202,-0.347197182,-0.110945446,-0.206710099,-0.260776053
20200803_0949_blob_1276_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1280_,0.829287316,-0.587821231,0.734946984,-0.355645789,-0.223940584,-0.517123737,-0.350854998,0.761175447,-0.382132105,0.04682865,-0.452634515,-0.256752972,-0.588823254,-0.250245153,-0.446057162,-0.165763599
20200803_0949_blob_1294_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1295_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1303_,-0.184569132,0.322843993,-0.273500402,0.762275307,-0.341681277,0.463332264,-0.039933525,-0.136634023,0.042223164,-0.252104928,0.701626324,-0.205452339,0.476024167,0.27029391,0.622285029,-0.237060389
20200803_0949_blob_1315_,-0.535280241,0.731258291,-0.253921998,-0.313524706,0.465369724,-0.113303407,0.765308323,-0.258494801,0.799242647,0.628792603,-0.065598426,0.712842856,0.120963386,0.244259024,0.075228195,0.361893021
20200803_0949_blob_1319_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1322_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1340_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1355_,0.165807037,0.254360971,-0.150500138,-0.36213912,0.044427882,-0.328753208,0.203939609,-0.022518202,0.328279859,0.0569487,-0.366286534,0.215885833,-0.299169807,-0.304294047,-0.372016811,-0.238473758
20200803_0949_blob_1360_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1363_,-0.268254055,0.495827543,-0.271259952,-0.302164586,0.253879829,-0.227519653,0.49709025,-0.233863213,0.563069326,0.187955728,-0.231049276,0.516205529,-0.093006149,-0.009100149,-0.116630106,0.072914466
20200803_0949_blob_1375_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1385_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1393_,-0.479224774,0.195816889,-0.306978886,0.480529036,-0.228817185,0.759994369,-0.226533232,-0.647991865,-0.121583949,-0.455673837,0.304093178,-0.318742378,0.638448647,0.318044286,0.225434271,-0.156385659
20200803_0949_blob_1407_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1408_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1433_,-0.11521352,0.126681271,-0.17440189,-0.332661855,0.470851076,-0.266736615,0.397967983,0.322167398,0.221841519,0.285350284,-0.285735129,0.562893599,-0.189018393,0.225036734,-0.239965169,0.480645446
20200803_0949_blob_1434_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1451_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1458_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1462_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1465_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1474_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1477_,-0.143227505,0.060441237,-0.289103864,0.012491423,-0.047049874,0.301017733,-0.330418746,-0.57395076,-0.150209867,-0.584696563,-0.174259453,-0.311444694,0.135954818,0.473192792,0.244467729,-0.344794583
20200803_0949_blob_1481_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1483_,0.298551044,-0.205892189,0.403968194,-0.648178659,0.184920182,-0.905069729,0.194527612,0.463618328,0.097631757,0.48048295,-0.545246134,0.299047362,-0.823993883,-0.477593057,-0.58671399,0.256043126
20200803_0949_blob_1520_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1526_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1558_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1567_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1571_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1650_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1672_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1677_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1701_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1712_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1730_,-0.121668035,0.230455795,-0.184490353,0.819081929,-0.398054221,0.39825226,-0.06439842,-0.046177614,-0.008594283,-0.183332372,0.760574924,-0.245339478,0.410731137,0.148012533,0.593966099,-0.250537784
20200803_0949_blob_1733_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1763_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1765_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1772_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_18_,-0.441507932,0.71830593,-0.437127626,-0.124395439,0.235554026,0.036403899,0.646897568,-0.355753917,0.739339532,0.246729461,0.013280638,0.583500691,0.222006819,0.29924313,0.250282864,0.12093851
20200803_0949_blob_1815_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1827_,0.258627139,-0.734301009,0.47137426,-0.247104881,0.005590427,-0.388086805,-0.350663709,0.197550739,-0.485621201,-0.03176868,-0.218372873,-0.257306355,-0.446494206,-0.4083559,-0.41453218,-0.102385172
20200803_0949_blob_1852_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1860_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1890_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_1956_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20200803_0949_blob_2000_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_2009_,0.267810403,0.06303047,-0.194090832,-0.227454197,0.037618623,-0.214151684,0.079552593,-0.010673044,0.171840422,-0.248016922,-0.236263352,0.142579415,-0.18329004,-0.334067291,-0.342477338,-0.306864157
20200803_0949_blob_2052_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_2201_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_2202_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_2253_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20200803_0949_blob_2330_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20200803_0949_blob_2342_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_2405_,-0.211605328,0.366704283,-0.272541187,-0.206130929,0.235799048,-0.146465509,0.402659811,-0.215243744,0.444518249,0.027145649,-0.140743065,0.445250136,-0.019394669,-0.026046014,-0.085741328,0.023564778
20200803_0949_blob_2422_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20200803_0949_blob_595_,0.233337735,-0.628330108,0.196716861,-0.344612455,-0.253375782,-0.359336555,-0.458195411,-0.146030016,-0.448873285,-0.339253981,-0.378960689,-0.434700977,-0.475407822,-0.41548177,-0.427049531,-0.345591189
20200803_0949_blob_620_,-0.523822693,0.820072358,-0.506520691,0.171495374,0.068338571,0.323289831,0.56677822,-0.514946028,0.727422723,0.155312833,0.288385723,0.4076805,0.477002959,0.530537214,0.622622569,-0.001227194
