"","Compound.Name","F1","F2","F3","F4","F5","F6","F7","F8","best_corr","cluster","BlobID","Library.Name","Library.Match.Factor","Library.Reverse.Match.Factor","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Library.Molecular.Weight_NISTmain","Benzothiazole","Thiol","Library.Reverse.Match.Factor_chamber","Library.RI_chamber","Identifiable","tic"
"11","20200803_0949_blob_1249_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1278.126131,NA,"Silanol, trimethyl-, phosphate (3:1)",817,836,1286,"C9H27O4PSi3",314,NA,NA,NA,NA,TRUE,1
"12","20200803_0949_blob_1273_",-0.448889564929689,0.67251232614049,-0.444225543735518,0.299815360284,0.14355627888627,0.682172800518794,-0.0604400184667093,0.486174952624774,"F6",2,1273,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1256.725455,NA,"Benzoic Acid, TMS derivative",868,918,1249,"C10H14O2Si",194,NA,NA,NA,NA,TRUE,1
"13","20200803_0949_blob_1280_",-0.531644262752861,0.624153720506131,0.116791042448997,0.0975889220813508,0.603419524992401,0.160934113895206,0.16458123242555,0.164397071522365,"F2",NA,1280,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1696.202532,NA,"1-(1,3-Dimethyl-buta-1,3-dienyl)-3,7,7-trimethyl-2-oxa-bicyclo[3.2.0]hept-3-ene",678,724,NA,"C15H22O",218,NA,NA,NA,NA,NA,1
"14","20200803_0949_blob_1303_",0.766693755642851,-0.516413825610239,-0.399872847929492,-0.60970483308812,-0.397176704562496,-0.371529311311101,0.492905015522521,0.475688870707849,"F1",NA,1303,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1793.670886,NA,"(5R,10R)-6,10-Dimethyl-2-(propan-2-ylidene)spiro[4.5]dec-6-en-8-one",736,765,NA,"C15H22O",218,NA,NA,NA,NA,NA,1
"15","20200803_0949_blob_1315_",0.400977503397731,-0.443482432017782,0.702243974258421,-0.00574218899859465,0.0657066834732285,-0.430461892449358,0.147620978378317,-0.456973805658759,"F3",3,1315,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1309.032713,NA,"Formamide, N,N-dibutyl-",819,838,1310,"C9H19NO",157,NA,NA,NA,NA,TRUE,1
"16","20200803_0949_blob_1355_",-0.452452675249381,0.351275357835873,0.00316256752045639,0.352293932782441,0.241629670225616,0.279050538559407,-0.333501226606722,-0.316966241156218,"F4",NA,1355,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1679.746835,NA,"Ethanol, 2-(methylamino)-, N-trifluoroacetyl, O-(tert-butyldimethylsilyl)",573,629,NA,"C11H22F3NO2Si",285,NA,NA,NA,NA,NA,1
"17","20200803_0949_blob_1393_",0.320174171741127,-0.0822097054349767,0.285156186629955,-0.357984261219575,0.244424033679618,-0.193702860195965,0.399499175641232,0.166107244235978,"F7",NA,1393,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1537.5,NA,"Quinoline, 2,4,6-trimethyl-",814,832,1532,"C12H13N",171,NA,NA,NA,NA,TRUE,1
"18","20200803_0949_blob_1477_",0.265732112407826,-0.141731296455123,-0.547461885341332,-0.188012827004379,-0.586010335413745,0.381490343305199,-0.288995893365494,0.583109801457303,"F8",NA,1477,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1700,NA,"N-n-Butylphthalimide",753,822,NA,"C12H13NO2",203,NA,NA,NA,NA,NA,1
"19","20200803_0949_blob_1483_",-0.234696970908976,0.174592979043378,0.414783735558736,0.682077203321205,0.0852414003834848,0.165194106743446,0.00545426941553745,-0.320145809740502,"F4",4,1483,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1323.587479,NA,"Phthalic anhydride",884,904,1313,"C8H4O3",148,NA,NA,NA,NA,TRUE,1
"20","20200803_0949_blob_1730_",0.699141074345205,-0.45611735226058,-0.360408578430122,-0.500489510682445,-0.348937001252181,-0.3276275344959,0.631274749769181,0.47846380689948,"F1",NA,1730,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1786.075949,NA,"Menthol, 1'-(butyn-3-one-1-yl)-, (1R,2S,5R)-",711,727,NA,"C14H22O2",222,NA,NA,NA,NA,NA,1
"21","20200803_0949_blob_18_",0.555194773229953,-0.671563402175305,0.590039969407923,-0.0454054544220395,-0.3786700966528,-0.402930267808216,-0.100627411591801,-0.344448960956289,"F3",NA,18,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1892.957746,NA,"Bicyclo[4.3.0]nonan-2-one, 8-isopropylidene-",735,796,NA,"C12H18O",178,NA,NA,NA,NA,NA,1
"22","20200803_0949_blob_1827_",-0.816053742972853,0.858324158538523,-0.0445976186619765,0.448706066338344,0.695535646089208,0.451344727968325,0.0501334090195476,-0.0273811556404684,"F2",2,1827,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1497.727273,NA,"1H-Isoindole-1,3(2H)-dione, N-ethyl-",817,865,NA,"C10H9NO2",175,NA,NA,NA,NA,TRUE,1
"23","20200803_0949_blob_2009_",-0.267858372142072,0.279879843838435,0.320230550083392,-0.161386155574793,0.54847537905527,-0.0656734666509962,-0.0486242527528737,-0.122435134497484,"F5",5,2009,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1230.188618,NA,"Hymexazole, tert-butyldimethylsilyl ether",643,654,NA,"C10H19NO2Si",213,NA,NA,NA,NA,NA,1
"24","20200803_0949_blob_595_",-0.320321678889959,0.406176174616124,-0.50213332131722,0.333259104123902,-0.24970230308409,0.87098561918196,-0.331241677123444,0.468074124168262,"F6",6,595,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2543.636364,NA,"Hexadecanoic acid, n.-octyl ester",748,753,NA,"C24H48O2",368,NA,NA,NA,NA,NA,1
"25","20200803_0949_blob_620_",0.814840640355061,-0.89079322549944,0.32777371267943,-0.375048473130441,-0.586009019156014,-0.511436591701859,-0.0597878748530514,-0.126087938450475,"F1",NA,620,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1945.070423,NA,"Linolool oxide, (E)-, TMS derivative",663,844,NA,"C13H26O2Si",242,NA,NA,NA,NA,NA,1
"26","20200803_0949_blob_636_",-0.26607077396082,0.352385893494881,-0.275893425913175,0.476849305495193,-0.291116191173405,0.863843457641621,-0.32820931981329,0.414923352799554,"F6",NA,636,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1881.690141,NA,"Epistephamiersine",665,765,NA,"C21H27NO6",389,NA,NA,NA,NA,NA,1
"27","20200803_0949_blob_649_",0.344170854261907,-0.444087052711857,0.263928537663177,-0.212482731553286,-0.291282476928519,-0.269772753440168,-0.18623219852517,-0.0299609792421307,"F1",NA,649,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1646.835443,NA,"D-Erythro-Pentopyranose, 2-deoxy-1,3,4-tris-O-(trimethylsilyl)-",751,767,NA,"C14H34O4Si3",350,NA,NA,NA,NA,NA,1
"28","20200803_0949_blob_660_",0.745591110327295,-0.796192777948345,0.00852779143836404,-0.492690921573557,-0.546831625041529,-0.501778482690062,0.0590548594350149,-0.0348913038361721,"F1",NA,660,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1994.366197,NA,"6,7-Dibromo-Z-11-tetradecene-1-ol acetate",650,675,NA,"C16H28Br2O2",410,NA,NA,NA,NA,NA,1
"29","20200803_0949_blob_663_",0.59633312443294,-0.739233433207525,0.511072821181762,-0.130314753644485,-0.472747907626795,-0.402969985174414,-0.157433098847591,-0.315504386651179,"F1",NA,663,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1726.582278,NA,"Furo[3,2-c]quinoline, 2,3-dihydro-2,4-dimethyl-",623,676,NA,"C13H13NO",199,NA,NA,NA,NA,NA,1
"30","20200803_0949_blob_671_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","20200803_0949_blob_676_",0.750188683651214,-0.82342183828283,0.311563370735663,-0.268978549270183,-0.549697283738447,-0.467140442781701,-0.0432420510849219,-0.149674987568037,"F1",NA,676,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2024.615385,NA,"1-Heptatriacotanol",709,716,NA,"C37H76O",536,NA,NA,NA,NA,NA,1
"32","20200803_0949_blob_688_",0.624290237734644,-0.687653422802695,0.530583907516004,-0.230181350238301,-0.0874704444329203,-0.677944496483342,0.25943687484481,-0.433480741386624,"F1",NA,688,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1956.338028,NA,"Cyclopropanebutanoic acid, 2-[[2-[[2-[(2-pentylcyclopropyl)methyl]cyclopropyl]methyl]cyclopropyl]methyl]-, methyl ester",720,732,NA,"C25H42O2",374,NA,NA,NA,NA,NA,1
"33","20200803_0949_blob_696_",0.337169359861665,-0.416851403241294,0.586817152040763,0.158703284280269,-0.204336241342222,-0.236317126699108,-0.111891024097084,-0.383575789470126,"F3",NA,696,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1976.056338,NA,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",714,786,NA,"C20H34O2",306,NA,NA,NA,NA,NA,1
"34","20200803_0949_blob_699_",0.191602439590628,-0.212852658160642,0.701325782002107,0.00260265029857217,0.356633692169622,-0.448986671898865,0.189725608821556,-0.531124793544491,"F3",NA,699,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2107.692308,NA,"1-Butanol, 4-(hexyloxy)-",633,804,NA,"C10H22O2",174,NA,NA,NA,NA,NA,1
"35","20200803_0949_blob_701_",-0.0680345510109822,-0.0311411830972616,0.663875691875908,0.173729245321182,0.192772566212857,-0.126416308776873,-0.146870775617029,-0.328841214581005,"F3",3,701,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1318.73589,NA,"3-Methyl-2-furoic acid, TMS derivative",702,728,NA,"C9H14O3Si",198,NA,NA,NA,NA,NA,1
"36","20200803_0949_blob_704_",0.461788534628477,-0.562472576306495,0.560685322313994,0.0538651731401179,-0.332653424310225,-0.303516127805422,-0.0952382811863111,-0.293479290481874,"F3",NA,704,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2093.846154,NA,"3-Hydroxy-2,5,5,8a-tetramethyl-3,4,4a,5,6,7,8,8a-octahydronaphthalene-1-carboxylic acid, 2-trimethylsilylethyl ester",597,605,NA,"C20H36O3Si",352,NA,NA,NA,NA,NA,1
"37","20200803_0949_blob_708_",-0.309634406458127,0.388594131847919,-0.477138363106413,0.26784610565945,-0.188741323284313,0.78567037904955,-0.287848048480479,0.399015598371616,"F6",NA,708,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2747.572816,NA,"Dodecanoic acid, 3-hydroxy-",695,737,NA,"C12H24O3",216,NA,NA,NA,NA,NA,1
"38","20200803_0949_blob_709_oil",0.424918837118408,-0.422487389826203,-0.180524111004024,-0.0592930788483134,-0.68831098349951,0.072843577118113,-0.288517358787784,0.236945424631162,"F1",NA,709,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2463.636364,NA,"Ethanol, 2-(octadecyloxy)-",694,729,NA,"C20H42O2",314,NA,NA,NA,NA,NA,1
"39","20200803_0949_blob_715_oil",0.839083446280071,-0.917660335110182,0.208655375221659,-0.45517801979754,-0.626621396991053,-0.534730529911548,-0.0477285983750495,-0.107507770877385,"F1",NA,715,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2501.818182,NA,"Ethanol, 2-(octadecyloxy)-",759,772,NA,"C20H42O2",314,NA,NA,NA,NA,NA,1
"40","20200803_0949_blob_724_",0.398327840820707,-0.487135178264541,0.179492882111521,0.193072374203141,-0.532287785861813,0.0668017021851704,-0.299493490404398,-0.206452747814811,"F1",NA,724,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2180,NA,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",799,814,NA,"C20H34O2",306,NA,NA,NA,NA,NA,1
"41","20200803_0949_blob_734_oil",0.734921246057306,-0.828616441964833,0.317429258101798,-0.310868683028221,-0.516600001807252,-0.481259110355732,-0.154211212213418,-0.193802877643543,"F1",NA,734,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2514.545455,NA,"Tetrapentacontane, 1,54-dibromo-",767,787,NA,"C54H108Br2",914,NA,NA,NA,NA,NA,1
"42","20200803_0949_blob_741_oil",0.624622833940915,-0.630675927204964,0.193414080990601,-0.550842313241718,-0.219686116846769,-0.510785504480897,-0.00667718709138234,-0.0621020061857745,"F1",NA,741,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2521.818182,NA,"17-Pentatriacontene",760,761,NA,"C35H70",490,NA,NA,NA,NA,NA,1
"43","20200803_0949_blob_745_",0.601565847503915,-0.675282442721053,0.514985943691585,-0.273218126573378,-0.0548084181580549,-0.706149602254519,0.223809770011352,-0.426254889247367,"F1",NA,745,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2012.307692,NA,"As-Indacen-1(2H)-one, 3,6,7,8-tetrahydro-3,3,6,6-tetramethyl-",732,739,NA,"C16H20O",228,NA,NA,NA,NA,NA,1
"44","20200803_0949_blob_746_",0.281644076321342,-0.370747246531816,0.50482593386481,0.188849549705178,-0.030929271991705,-0.407093517765487,0.126196894557983,-0.573758667736211,"F3",NA,746,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1830.985915,NA,"Eicosanoic acid, 2,3-bis(acetyloxy)propyl ester",642,776,NA,"C27H50O6",470,NA,NA,NA,NA,NA,1
"45","20200803_0949_blob_750_",-0.36054478565919,0.416728568591258,0.125838041184541,-0.168950051861041,0.701664319898733,-0.00790938144501501,0.0845552163078882,-0.0597178001471959,"F5",NA,750,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2250.420168,NA,"13-Octadecenoic acid, (E)-, TMS derivative",793,798,2228,"C21H42O2Si",354,NA,NA,NA,NA,NA,1
"46","20200803_0949_blob_760_",-0.224798767988136,0.259841749539952,0.419940642087514,-0.0629161698048463,0.576458114709763,-0.0830460680560777,0.0183945944454952,-0.218930301561299,"F5",NA,760,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1887.323944,NA,"Mono-TMS of (pyridoxine-H2O)",713,763,NA,"C11H17NO2Si",223,NA,NA,NA,NA,NA,1
"47","20200803_0949_blob_766_",0.326022272946461,-0.38711854837029,0.706552514526384,-0.298055474535884,0.327924749824747,-0.623942843760862,0.129424861577696,-0.538646141963143,"F3",NA,766,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2044.615385,NA,"2-o-Tolylbenzothiazole",758,804,NA,"C14H11NS",225,TRUE,NA,NA,NA,NA,1
"48","20200803_0949_blob_767_oil",0.532359154216523,-0.468179198926141,-0.0456290000709608,-0.173896956419798,-0.651054006957374,-0.0470934314388812,-0.0249668897568883,0.255429782416387,"F1",NA,767,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2587.272727,NA,"Dodecane, 1-cyclopentyl-4-(3-cyclopentylpropyl)-",743,753,NA,"C25H48",348,NA,NA,NA,NA,NA,1
"49","20200803_0949_blob_777_",0.153745641864659,-0.151867037787846,0.65054985301055,-0.329345330233985,0.583401520133716,-0.610592163881073,0.298670919791346,-0.487258131324193,"F3",NA,777,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1912.676056,NA,"3-Methyl-6,7-benzoisoquinoline",665,751,NA,"C14H11N",193,NA,NA,NA,NA,NA,1
"50","20200803_0949_blob_779_oil",0.290899791496108,-0.35060629939513,0.0702977599620091,-0.469206476482254,-0.0273974012064401,-0.3845090731043,-0.201364206864643,-0.214564882415049,"F1",NA,779,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2391.596639,NA,"Dihydrophytol, TMS derivative",740,872,NA,"C23H50OSi",370,NA,NA,NA,NA,NA,1
"51","20200803_0949_blob_783_",0.624712850661943,-0.728255312530995,0.450611318282056,-0.101607555133666,-0.467603325822387,-0.408278330288217,-0.11944510168295,-0.261560150915901,"F1",NA,783,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2287.394958,NA,"1-Hydroxy-2-methylanthraquinone, TMS derivative",648,908,NA,"C18H18O3Si",310,NA,NA,NA,NA,NA,1
"52","20200803_0949_blob_786_",-0.0246049059522586,-0.159460215383116,0.510660373852478,0.288337206258788,0.244256962320203,-0.364264529729759,0.139642314314284,-0.719436704859705,"F3",NA,786,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1901.408451,NA,"trans-2-Hexadecenoic acid",609,658,NA,"C16H30O2",254,NA,NA,NA,NA,NA,1
"53","20200803_0949_blob_788_oil",0.581045100664301,-0.724758999388162,0.329471241242037,-0.214316689756104,-0.440646265197141,-0.405910232893929,-0.190143755538967,-0.288192625645717,"F1",NA,788,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2627.184466,NA,"tert-Hexadecanethiol",707,736,NA,"C16H34S",258,NA,TRUE,NA,NA,NA,1
"54","20200803_0949_blob_793_",0.418422432023889,-0.613280550482173,0.287394094767422,-0.230616721967468,-0.435089787432063,-0.310202684869269,-0.306825661951456,-0.268461160293236,"F1",NA,793,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2080,NA,"2-[5-(2,2-Dimethyl-6-methylene-cyclohexyl)-3-methyl-pent-2-enyl]-[1,4]benzoquinone",713,764,NA,"C21H28O2",312,NA,NA,NA,NA,NA,1
"55","20200803_0949_blob_794_",0.708569861456004,-0.840652083056051,0.259737583536246,-0.303853429437498,-0.423617510042729,-0.685166494500535,0.092991949901844,-0.333775187910129,"F1",NA,794,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2167.692308,NA,"Methyl 1,2-diphenyl-3-hydroxy-cyclopropene-3-carboxylate",600,803,NA,"C17H14O3",266,NA,NA,NA,NA,NA,1
"56","20200803_0949_blob_796_",0.402000202689711,-0.544652008777794,0.491124347051025,-0.0662206362714164,-0.129988263364423,-0.439150640143097,0.0223508099963365,-0.466841353667363,"F3",NA,796,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2463.636364,NA,"Thiourea, 1-(2-chlorophenyl)-3-(pyridin-3-yl)-",635,672,NA,"C12H10ClN3S",263,NA,NA,NA,NA,NA,1
"57","20200803_0949_blob_800_",0.304378324634195,-0.420442264191624,0.446272593548714,0.152597732002953,-0.156496348584124,-0.332838356994374,-0.0341163861865832,-0.503818496695113,"F3",NA,800,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2349.579832,NA,"Benzoic acid, tridecyl ester",777,844,2340,"C20H32O2",304,NA,NA,NA,NA,NA,1
"58","20200803_0949_blob_805_",-0.479497875418225,0.502835232967838,0.41551349564947,0.00605754828252174,0.931896269434661,-0.114710832471902,0.193426868752169,-0.363219315784949,"F5",NA,805,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2268.907563,NA,"2-methylidene-6,10,14-trimethylpen2-methylidene-6,10,14-trimethylpentadecanoic acid silylated",617,664,NA,"C22H44O2Si",368,NA,NA,NA,NA,NA,1
"59","20200803_0949_blob_814_",-0.331445130910253,0.217525930321937,-0.0560033520501503,0.133770495785322,0.0719199269855749,-0.00375704405547721,-0.0814650145070758,-0.0417132070583563,"F2",NA,814,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1969.014085,NA,"Anthacene, 1,2,3,4,6,7,8,9-octahydro-2,2,5-trimethyl-",605,639,NA,"C17H24",228,NA,NA,NA,NA,NA,1
"60","20200803_0949_blob_816_",0.509401277379918,-0.599515193601422,0.507955231642279,0.0154439365430761,-0.346001040955958,-0.340153614214881,-0.0578300352354772,-0.280207304183417,"F1",NA,816,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2278.991597,NA,"1H-2,8a-Methanocyclopenta[a]cyclopropa[e]cyclodecen-11-one, 1a,2,5,5a,6,9,10,10a-octahydro-5,5a,6-trihydroxy-1,4-bis(hydroxymethyl)-1,7,9-trimethyl-, [1S-(1<e4><U+0096>,1a<e4><U+0096>,2<e4><U+0096>,5??,5a??,6??,8a<e4><U+0096>,9<e4><U+0096>,10a<e4><U+0096>)]-",580,595,NA,"C20H28O6",364,NA,NA,NA,NA,NA,1
"61","20200803_0949_blob_822_",-0.332002074524051,0.396236201960169,0.138046585728954,-0.195645791722819,0.668320165210808,-0.00394488398189601,0.0590879879089463,-0.0325592145975056,"F5",NA,822,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2176.923077,NA,"Heptadecanoic acid, TMS derivative",714,839,2146,"C20H42O2Si",342,NA,NA,NA,NA,NA,1
"62","20200803_0949_blob_829_",0.386033597073846,-0.529926466736597,0.430431936766896,-0.40850022675949,0.129591833044059,-0.705767323988851,0.0376572251151918,-0.586678011191738,"F3",NA,829,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1857.746479,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",574,669,NA,"C16H50O7Si8",578,NA,NA,NA,NA,NA,1
"63","20200803_0949_blob_831_",0.183253770630154,-0.334230265246162,0.709637925037233,-0.293067308985696,0.481080051015033,-0.766075009861545,0.211514635307608,-0.710679224278798,"F3",NA,831,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1895.774648,NA,"3-Methyl-6,7-benzoisoquinoline",700,785,NA,"C14H11N",193,NA,NA,NA,NA,NA,1
"64","20200803_0949_blob_835_",0.736732864537343,-0.807880968627229,0.127335419034234,-0.416383256303763,-0.613637710913857,-0.49760346966763,0.00489567272453038,0.00967803540575423,"F1",NA,835,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2175.384615,NA,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",621,662,NA,"C16H50O7Si8",578,NA,NA,NA,NA,NA,1
"65","20200803_0949_blob_856_",0.44013722066448,-0.549152556970295,0.487434834906775,0.0390253982777683,-0.340039537805581,-0.299598768899407,-0.168943972912538,-0.342567699263004,"F3",NA,856,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2231.932773,NA,"9-Octadecenoic acid, (2-phenyl-1,3-dioxolan-4-yl)methyl ester, trans-",600,610,NA,"C28H44O4",444,NA,NA,NA,NA,NA,1
"66","20200803_0949_blob_861_",0.0647034754729626,-0.227485812577399,0.50974735989308,0.451159151831879,-0.237948838285188,-0.00484811771223126,-0.190433248255373,-0.390489625705532,"F3",NA,861,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1753.164557,NA,"4-(3-Hydroxy-2,2,6-trimethyl-7-oxa-bicyclo[4.1.0]hept-1-yl)-but-3-en-2-one",649,683,NA,"C13H20O3",224,NA,NA,NA,NA,NA,1
"67","20200803_0949_blob_871_",0.141164890314105,-0.313322936357552,0.614223265169544,-0.0498869614053584,0.0978664282685719,-0.397016404385733,-0.189996741776104,-0.498120440898464,"F3",3,871,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1358.761496,NA,"Uridine, 5-chloro-2'-desoxytris-O-(trimethylsilyl)-",654,654,NA,"C18H35ClN2O5Si3",478,NA,NA,NA,NA,NA,1
