"","Compound.Name","F1","F2","F3","F4","F5","F6","F7","F8","best_corr","cluster","BlobID","Library.Name","Library.Match.Factor","Library.Reverse.Match.Factor","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Library.Molecular.Weight_NISTmain","Benzothiazole","Thiol","Library.Reverse.Match.Factor_chamber","Library.RI_chamber","Identifiable","tic"
"1","20200803_0949_blob_1009_",-0.315091811465074,0.587758471948794,-0.414460584001391,0.190956139403038,0.138249952264203,0.712262744728429,0.142971185920194,0.557526434984116,"F6",NA,1009,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1667.088608,NA,"1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-",693,768,NA,"C14H22O2",222,NA,NA,NA,NA,NA,1
"2","20200803_0949_blob_1011_",-0.0494959049554246,-0.113276996756878,0.615064982000869,0.423879476275396,0.0614013619386247,-0.176869023701458,-0.0791108547714224,-0.539106001256494,"F3",NA,1011,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1845.070423,NA,"1-Cyclopenten-3-one, 1-(3-methoxy-1-(E)-octenyl)-2-trimethylsilyl-",637,672,NA,"C17H30O2Si",294,NA,NA,NA,NA,NA,1
"3","20200803_0949_blob_1043_",-0.260589010590685,0.304609374128843,-0.114425144612681,0.356441582501969,-0.208961854384987,0.603580230803394,-0.323525672239907,0.212408564582885,"F6",NA,1043,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1821.126761,NA,"1H-Indole-2,3-dione, 5-tert-butyl-",721,770,NA,"C12H13NO2",203,NA,NA,NA,NA,NA,1
"4","20200803_0949_blob_1063_",0.838367307744948,-0.663482879235891,-0.231388055277752,-0.649117640779341,-0.381777396908576,-0.516027199351857,0.470848683580115,0.298296027140815,"F1",1,1063,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1485.227273,NA,"2,5-cyclohexadien-1-one, 2,6-bis(1,1-dimethylethyl)-4-hydroxy-4-methyl-",685,855,NA,"C15H24O2",236,NA,NA,NA,NA,NA,1
"5","20200803_0949_blob_1138_",-0.822907121122972,0.884203865492711,0.192473860516818,0.406175364700736,0.86125643819366,0.351512017785784,0.0783815720519747,-0.154298889753626,"F2",NA,1138,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1653.164557,NA,"Diphenylamine",784,878,1621,"C12H11N",169,NA,NA,NA,NA,NA,1
"6","20200803_0949_blob_1140_",0.894506189986812,-0.785260344982943,0.0802203843568218,-0.495112573852451,-0.535355387203079,-0.499145201044937,0.18254831229788,0.144509531101414,"F1",NA,1140,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1641.772152,NA,"12-Oxatetracyclo[5.2.1.1(2,6).1(8,11)]dodecan-3-ol-10-one acetate",616,633,NA,"C13H16O4",236,NA,NA,NA,NA,NA,1
"7","20200803_0949_blob_1163_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","20200803_0949_blob_1172_",0.17689644257226,-0.226989367334591,0.607347123067935,0.272542294554479,-0.052646421642643,-0.218848438516533,0.0337277769105905,-0.381251302469184,"F3",NA,1172,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1833.802817,NA,"2(3H)-Benzofuranone, 6-ethenylhexahydro-3,6-dimethyl-7-(1-methylethenyl)-, [3S-(3<e4><U+0096>,3a<e4><U+0096>,6<e4><U+0096>,7??,7a??)]-",715,778,1806,"C15H22O2",234,NA,NA,NA,NA,NA,1
"9","20200803_0949_blob_1194_",-0.0470239946672683,0.0360566819353978,-0.013625950703711,0.315998771933655,-0.351639088564353,0.279610875304267,-0.224028039839475,0.108525540755783,"F4",NA,1194,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,2063.076923,NA,"1-Heptadecanol, TMS derivative",717,737,2054,"C20H44OSi",328,NA,NA,NA,NA,NA,1
"10","20200803_0949_blob_1227_",-0.478420360967692,0.54260026399139,0.142752823932777,0.175195136937966,0.518048031381581,0.142240415186057,0.0965282207260687,-0.0415524458856823,"F2",NA,1227,"caice_ssa_final_0805_0949",999,999,NA,NA,NA,1830.985915,NA,"Calarene epoxide",736,799,NA,"C15H24O",220,NA,NA,NA,NA,NA,1
