Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned,cluster_assigned_btz
20200803_0949_blob_750_,-0.360544786,0.416728569,0.125838041,-0.168950052,0.70166432,-0.007909381,0.084555216,-0.0597178,F5,5,5
20200803_0949_blob_760_,-0.224798768,0.25984175,0.419940642,-0.06291617,0.576458115,-0.083046068,0.018394594,-0.218930302,F5,5,5
20200803_0949_blob_766_,0.326022273,-0.387118548,0.706552515,-0.298055475,0.32792475,-0.623942844,0.129424862,-0.538646142,F3,3,9
20200803_0949_blob_767_oil,0.532359154,-0.468179199,-0.045629,-0.173896956,-0.651054007,-0.047093431,-0.02496689,0.255429782,F1,1,1
20200803_0949_blob_777_,0.153745642,-0.151867038,0.650549853,-0.32934533,0.58340152,-0.610592164,0.29867092,-0.487258131,F3,3,3
20200803_0949_blob_779_oil,0.290899791,-0.350606299,0.07029776,-0.469206476,-0.027397401,-0.384509073,-0.201364207,-0.214564882,F1,1,1
20200803_0949_blob_783_,0.624712851,-0.728255313,0.450611318,-0.101607555,-0.467603326,-0.40827833,-0.119445102,-0.261560151,F1,1,1
20200803_0949_blob_786_,-0.024604906,-0.159460215,0.510660374,0.288337206,0.244256962,-0.36426453,0.139642314,-0.719436705,F3,3,3
20200803_0949_blob_788_oil,0.581045101,-0.724758999,0.329471241,-0.21431669,-0.440646265,-0.405910233,-0.190143756,-0.288192626,F1,1,1
20200803_0949_blob_793_,0.418422432,-0.61328055,0.287394095,-0.230616722,-0.435089787,-0.310202685,-0.306825662,-0.26846116,F1,1,1
20200803_0949_blob_794_,0.708569861,-0.840652083,0.259737584,-0.303853429,-0.42361751,-0.685166495,0.09299195,-0.333775188,F1,1,1
20200803_0949_blob_796_,0.402000203,-0.544652009,0.491124347,-0.066220636,-0.129988263,-0.43915064,0.02235081,-0.466841354,F3,3,3
20200803_0949_blob_800_,0.304378325,-0.420442264,0.446272594,0.152597732,-0.156496349,-0.332838357,-0.034116386,-0.503818497,F3,3,3
20200803_0949_blob_805_,-0.479497875,0.502835233,0.415513496,0.006057548,0.931896269,-0.114710832,0.193426869,-0.363219316,F5,5,5
20200803_0949_blob_814_,-0.331445131,0.21752593,-0.056003352,0.133770496,0.071919927,-0.003757044,-0.081465015,-0.041713207,F2,2,2
20200803_0949_blob_816_,0.509401277,-0.599515194,0.507955232,0.015443937,-0.346001041,-0.340153614,-0.057830035,-0.280207304,F1,1,1
20200803_0949_blob_822_,-0.332002075,0.396236202,0.138046586,-0.195645792,0.668320165,-0.003944884,0.059087988,-0.032559215,F5,5,5
20200803_0949_blob_829_,0.386033597,-0.529926467,0.430431937,-0.408500227,0.129591833,-0.705767324,0.037657225,-0.586678011,F3,3,3
20200803_0949_blob_831_,0.183253771,-0.334230265,0.709637925,-0.293067309,0.481080051,-0.76607501,0.211514635,-0.710679224,F3,3,3
20200803_0949_blob_835_,0.736732865,-0.807880969,0.127335419,-0.416383256,-0.613637711,-0.49760347,0.004895673,0.009678035,F1,1,1
20200803_0949_blob_856_,0.440137221,-0.549152557,0.487434835,0.039025398,-0.340039538,-0.299598769,-0.168943973,-0.342567699,F3,3,3
20200803_0949_blob_861_,0.064703475,-0.227485813,0.50974736,0.451159152,-0.237948838,-0.004848118,-0.190433248,-0.390489626,F3,3,3
20200803_0949_blob_871_,0.14116489,-0.313322936,0.614223265,-0.049886961,0.097866428,-0.397016404,-0.189996742,-0.498120441,F3,3,3
20200803_0949_blob_900_,-0.024349508,-0.106264012,0.451278362,-0.211339479,0.15399855,-0.141783327,-0.094909537,-0.276061783,F3,3,3
20200803_0949_blob_901_,-0.352067441,0.354536218,0.253533027,-0.112898986,0.675004727,-0.084827131,0.034276939,-0.208083448,F5,5,5
20200803_0949_blob_905_,0.566450589,-0.748989033,0.371606089,-0.125972639,-0.499425396,-0.403545788,-0.141788159,-0.311741699,F1,1,1
20200803_0949_blob_911_,-0.412061256,0.321218867,0.488933602,0.128071666,0.757855871,-0.191371283,0.105974207,-0.617670309,F5,5,5
20200803_0949_blob_920_,-0.73975569,0.716221325,0.033127507,0.316056306,0.554379154,0.42927117,-0.138266843,-0.091074871,F2,2,2
20200803_0949_blob_932_,-0.151371375,0.0710266,0.611903189,0.025199997,0.420914914,-0.183086518,-0.073058932,-0.415137846,F3,3,3
20200803_0949_blob_947_,0.469371841,-0.526058188,0.360463911,0.090240621,-0.3877172,-0.243289928,0.113346597,-0.186389409,F1,1,1
20200803_0949_blob_952_,-0.212006091,0.182873285,0.356467069,-0.001118295,0.380604544,-0.076393715,-0.094793592,-0.159204204,F5,5,5
20200803_0949_blob_958_,-0.415513624,0.506473655,0.507569402,0.283691836,0.67684666,0.029173571,0.273862276,-0.132999337,F5,5,5
20200803_0949_blob_961_oil,0.400904325,-0.541115024,0.30806287,-0.19906318,-0.425111196,-0.318329306,-0.106271055,-0.085781001,F1,1,1
20200803_0949_blob_981_,0.449558808,-0.488228916,-0.166297397,-0.191265817,-0.489238915,-0.209353411,-0.108120347,0.105284186,F1,1,1
20200803_1535_blob_1000_,-0.300964951,0.403201155,-0.448703611,0.462694077,-0.328614136,0.924319896,-0.286707149,0.506124606,F6,6,6
20200803_1535_blob_1001_,-0.518786115,0.5929858,0.309265853,0.486155494,0.608665412,0.078710185,0.302616949,-0.223905168,F5,5,5
20200803_1535_blob_1003_,-0.533482936,0.690388062,-0.506402803,0.474866362,-0.056734591,0.969711201,-0.245357451,0.537897027,F6,6,6
20200803_1535_blob_1004_,-0.684071383,0.730154246,-0.362210837,0.52534426,0.14998134,0.811959055,-0.221562893,0.247273016,F6,6,6
20200803_1535_blob_1005_,-0.845184474,0.902032816,0.077307466,0.451231957,0.802671816,0.386142525,0.094685974,-0.12943076,F2,2,2
20200803_1535_blob_1007_,-0.576595623,0.599835563,0.186357989,0.516378815,0.316604945,0.476497967,-0.17770672,0.007024245,F2,2,2
20200803_1535_blob_1011_,-0.386535703,0.436180481,0.024918729,0.243424183,0.391809776,-0.07423869,0.331524409,-0.07740382,F2,2,2
20200803_1535_blob_1012_,-0.557479873,0.708248465,-0.399927079,0.396453301,0.134905874,0.815030279,-0.12913435,0.480003825,F6,6,6
20200803_1535_blob_1014_,-0.591083172,0.593966408,0.259663505,0.161692625,0.764435738,0.056016705,0.105975479,-0.242529926,F5,5,5
20200803_1535_blob_1016_,-0.479441689,0.591240894,-0.19417853,0.520639988,-0.065676614,0.769144637,-0.169902237,0.358668326,F6,6,9
20200803_1535_blob_1017_,-0.784751769,0.832811509,0.226024113,0.428387839,0.852725719,0.213260653,0.172406639,-0.231697142,F5,5,5
20200803_1535_blob_1019_oil,-0.712846144,0.83244992,-0.208660388,0.301769323,0.43651994,0.502243852,-0.007219378,0.323685935,F2,2,2
20200803_1535_blob_1022_,-0.865012449,0.754451314,0.181855666,0.477880982,0.722650533,0.263302095,-0.16949543,-0.390952566,F2,2,2
20200803_1535_blob_1023_,-0.912637996,0.938139785,-0.037713134,0.585976265,0.674816891,0.49120867,0.023721274,-0.103177468,F2,2,2
20200803_1535_blob_1025_,-0.802739012,0.914294457,-0.303838019,0.632268102,0.350678629,0.862023803,-0.111604857,0.254933982,F2,2,2
20200803_1535_blob_1026_,-0.218059498,0.189073595,0.639989587,0.124074779,0.46781727,-0.157564216,0.013164529,-0.364250502,F3,3,3
20200803_1535_blob_1028_,-0.748002015,0.863043845,-0.412213164,0.448357938,0.241271123,0.888082546,-0.221583974,0.386546899,F6,6,6
20200803_1535_blob_1029_,-0.593955765,0.596399739,0.191111218,0.53203064,0.620184207,0.290504646,0.055735056,-0.364742959,F5,5,5
20200803_1535_blob_1030_,-0.608396278,0.745666672,-0.418357126,0.592070218,0.032906247,0.96785931,-0.215401877,0.432548781,F6,6,6
20200803_1535_blob_1031_,-0.73865085,0.872717536,-0.090830222,0.357647069,0.523474231,0.508574873,0.054728652,0.279207005,F2,2,2
20200803_1535_blob_1033_,-0.588016231,0.669142076,0.267403278,0.568673516,0.557814094,0.378867964,0.130424904,-0.16694535,F2,2,2
20200803_1535_blob_1037_,-0.827880106,0.860084715,0.026695121,0.576310256,0.64580255,0.40857457,0.11307871,-0.08508826,F2,2,2
20200803_1535_blob_1039_,-0.770142186,0.72391883,0.107624536,0.581131276,0.626356264,0.299561353,0.040015836,-0.323088709,F2,2,2
20200803_1535_blob_1040_,-0.758220339,0.825787432,-0.145900554,0.763785569,0.256860077,0.769636034,-0.093765088,0.134580435,F2,2,2
20200803_1535_blob_1041_,-0.513521773,0.61012328,-0.479128412,0.59364373,-0.191204454,0.941043475,-0.276391157,0.454282687,F6,6,6
20200803_1535_blob_1042_,-0.883934139,0.936110969,0.046138695,0.500279433,0.788753642,0.45489607,0.068430662,-0.091319406,F2,2,2
20200803_1535_blob_1043_,-0.851696281,0.942954154,-0.118953881,0.437774398,0.577164331,0.588501262,-0.0227084,0.18081193,F2,2,2
20200803_1535_blob_1044_,-0.629568624,0.797591967,-0.421670643,0.463358602,0.096220068,0.896977025,-0.168228404,0.547628237,F6,6,6
20200803_1535_blob_1045_,-0.837907027,0.854779313,0.163273521,0.553905676,0.79286411,0.342098533,0.103032444,-0.250739752,F2,2,2
20200803_1535_blob_1046_,0.144013578,0.028579512,0.028844013,-0.070167632,0.160341573,-0.077631174,0.712729726,0.255863442,F7,7,7
20200803_1535_blob_1047_,-0.778047692,0.867541932,-0.336834506,0.606651811,0.20083301,0.804261179,-0.129631973,0.342365449,F2,2,2
20200803_1535_blob_1048_,-0.805118485,0.876814052,0.10550887,0.33767096,0.701865969,0.404949761,0.011965642,0.034325112,F2,2,2
20200803_1535_blob_1051_,-0.857256868,0.94261931,-0.195985209,0.635846682,0.431246046,0.719214199,-0.053036251,0.163934884,F2,2,2
20200803_1535_blob_1052_,-0.560081475,0.700817587,-0.400745308,0.492260226,-0.001506099,0.903761336,-0.170848556,0.512054551,F6,6,6
20200803_1535_blob_1053_,-0.840730081,0.884007862,0.133688242,0.519892189,0.802407161,0.367311429,0.119158745,-0.165435079,F2,2,2
