Compound.Name,F1,F2,F3,F4,F5,F6,F7,F8,best_corr,cluster_assigned
20200803_0949_blob_701_,-0.035688586,-0.038975502,0.662528421,0.175921589,-0.156153789,-0.146870776,-0.091693179,-0.328841215,F3,3
20200803_0949_blob_871_,0.142894836,-0.326431707,0.553954029,0.06076776,-0.360834242,-0.189996742,-0.383108346,-0.498120441,F3,3
20200803_0949_blob_900_,-0.047193866,-0.124643385,0.297016392,0.137730753,-0.136517231,-0.094909537,-0.144078802,-0.276061783,F3,3
20200803_1535_blob_500_,-0.082884039,-0.038954243,0.632314152,0.331657066,-0.646527721,0.277476476,-0.322342887,-0.516686349,F3,3
20200803_1535_blob_780_,-0.471069115,0.31364637,0.681026022,0.578653953,-0.263971387,0.055310042,0.033272673,-0.468233196,F3,3
20200803_1535_blob_701_oil,-0.443578958,0.438175429,0.061039575,0.088895404,0.485563526,-0.128792389,0.515995422,-0.049659593,F7,3
20200803_0949_blob_2009_,-0.290134638,0.261383104,0.191305998,0.511973576,-0.143250117,-0.048624253,0.063815229,-0.122435134,F4,4
20200803_1535_blob_106_fb,-0.398607758,0.386163216,0.046283623,0.625478927,-0.097787728,0.036579379,0.144314715,-0.058980805,F4,4
20200803_1535_blob_170_,-0.673941958,0.614139891,0.414600978,0.909532366,-0.189602227,0.256694144,0.153534434,-0.440654843,F4,4
20200803_1535_blob_205_,-0.856397011,0.820763717,0.318451638,0.924533299,-0.046185027,0.140331994,0.384508489,-0.270801862,F4,4
20200803_1535_blob_23_fb,-0.420103224,0.566070157,0.036970859,0.747115982,-0.052359792,0.259659508,0.177630267,0.082305399,F4,4
20200803_1535_blob_43_,-0.775827846,0.75811987,0.355755594,0.955670243,-0.095406638,0.232251226,0.292576245,-0.307506594,F4,4
20200803_1535_blob_556_,-0.702457518,0.577785505,0.45829348,0.902280553,-0.272772538,0.210831461,0.096751051,-0.51425655,F4,4
20200803_1535_blob_645_,-0.416794025,0.383095406,0.070961954,0.625821883,-0.08160908,-0.0179355,0.13187772,-0.137384938,F4,4
20200803_1535_blob_650_oil,-0.593606843,0.607839729,0.300469354,0.75213681,-0.247817351,0.339012056,0.195525482,-0.177642822,F4,4
20200803_1535_blob_668_,-0.45937112,0.420086755,0.371161411,0.930746193,-0.423658327,0.373962142,-0.114304722,-0.355037546,F4,4
20200803_1535_blob_677_,-0.795005066,0.77785406,0.358572791,0.95145878,-0.027064124,0.176678644,0.346644335,-0.314620521,F4,4
20200803_1535_blob_711_,-0.36994385,0.296840424,0.444544652,0.838413232,-0.40539218,0.380038352,-0.173304965,-0.532714234,F4,4
20200803_1535_blob_764_,-0.628796651,0.57246241,0.46338992,0.891680285,-0.172699258,0.251934538,0.129634032,-0.413006696,F4,4
20200803_1535_blob_848_,-0.419868132,0.404192192,0.233722632,0.86052561,-0.393855646,0.409152659,-0.101985689,-0.291710046,F4,4
20200803_1535_blob_958_,-0.618583568,0.518637285,0.468603211,0.838879159,-0.221282466,0.164267903,0.103405236,-0.435975926,F4,4
20200803_1535_blob_992_,-0.48070433,0.3702924,0.194029828,0.728130261,-0.228158977,0.047376359,-0.020262863,-0.367069863,F4,4
20200803_1535_blob_691_oil,-0.389613448,0.295685657,-0.11592929,0.269141518,0.106390346,-0.207213231,0.160799406,-0.170427723,F2,5
20200803_0949_blob_595_,-0.282972362,0.401262349,-0.321574378,-0.20839122,0.942319381,-0.331241677,0.728815234,0.468074124,F5,5
20200803_1535_blob_11_,-0.274611288,0.404224267,-0.282840597,-0.247330897,0.981806991,-0.345019715,0.775819315,0.416716756,F5,5
20200803_1535_blob_1196_,0.054346261,0.044779754,-0.239776322,-0.341312665,0.786975694,-0.20294934,0.414682341,0.398339312,F5,5
