Compound.Name,Model_Properties
20200803_1535_blob_63_,TRUE
20200803_1535_blob_855_,TRUE
20200803_1535_blob_926_,TRUE
20200803_1535_blob_1192_,TRUE
20200803_0949_blob_1001_,TRUE
20200803_1535_blob_1245_,TRUE
20200803_1535_blob_1056_,TRUE
20200803_1535_blob_967_,TRUE
20200803_1535_blob_1257_,TRUE
20200803_1535_blob_1004_,TRUE
20200803_0949_blob_982_,TRUE
20200803_1535_blob_1281_,TRUE
20200803_0949_blob_1319_,TRUE
20200803_1535_blob_646_,TRUE
20200803_1535_blob_925_,TRUE
20200803_1535_blob_1105_,TRUE
20200803_0949_blob_1173_,TRUE
20200803_1535_blob_976_,TRUE
20200803_1535_blob_1078_,TRUE
20200803_1535_blob_888_,TRUE
20200803_1535_blob_1162_,TRUE
20200803_1535_blob_681_,TRUE
20200803_1535_blob_732_,TRUE
20200803_1535_blob_834_,TRUE
20200803_1535_blob_829_,TRUE
20200803_1535_blob_821_,TRUE
20200803_1535_blob_767_,TRUE
20200803_1535_blob_759_,TRUE
20200803_1535_blob_861_,TRUE
20200803_1535_blob_1073_,TRUE
20200803_1535_blob_778_,TRUE
20200803_1535_blob_31_,TRUE
20200803_1535_blob_816_,TRUE
20200803_1535_blob_656_,TRUE
20200803_1535_blob_820_,TRUE
20200803_1535_blob_840_,TRUE
20200803_1535_blob_705_,TRUE
20200803_1535_blob_825_,TRUE
20200803_1535_blob_706_,TRUE
20200803_1535_blob_872_,TRUE
20200803_1535_blob_975_,TRUE
20200803_1535_blob_836_,TRUE
20200803_1535_blob_1024_,TRUE
20200803_1535_blob_828_,TRUE
20200803_0949_blob_835_,TRUE
20200803_1535_blob_789_oil,TRUE
20200803_1535_blob_1030_,TRUE
20200803_1535_blob_1178_,TRUE
20200803_0949_blob_1701_,TRUE
20200803_1535_blob_811_,TRUE
20200803_1535_blob_785_,TRUE
20200803_0949_blob_746_,TRUE
20200803_1535_blob_1088_,TRUE
20200803_0949_blob_1098_,TRUE
20200803_1535_blob_19_,TRUE
20200803_1535_blob_1059_,TRUE
20200803_1535_blob_1011_,TRUE
20200803_1535_blob_733_,TRUE
20200803_1535_blob_910_,TRUE
20200803_1535_blob_986_,TRUE
20200803_1535_blob_887_,TRUE
20200803_1535_blob_598_oil,TRUE
20200803_1535_blob_881_,TRUE
20200803_1535_blob_964_,TRUE
20200803_1535_blob_943_oil,TRUE
20200803_1535_blob_938_oil,TRUE
20200803_1535_blob_931_oil,TRUE
20200803_1535_blob_1041_,TRUE
20200803_1535_blob_814_,TRUE
20200803_1535_blob_1120_,TRUE
20200803_1535_blob_923_,TRUE
20200803_0949_blob_1139_,TRUE
20200803_1535_blob_471_,TRUE
20200803_0949_blob_990_,TRUE
20200803_1535_blob_713_oil,TRUE
20200803_1535_blob_678_oil,TRUE
20200803_1535_blob_680_oil,TRUE
20200803_1535_blob_725_oil,TRUE
20200803_1535_blob_941_,TRUE
20200803_1535_blob_568_oil,TRUE
20200803_1535_blob_625_oil,TRUE
20200803_1535_blob_516_oil,TRUE
20200803_1535_blob_637_oil,TRUE
20200803_1535_blob_639_oil,TRUE
20200803_1535_blob_482_oil,TRUE
20200803_1535_blob_619_oil,TRUE
20200803_1535_blob_699_oil,TRUE
20200803_0949_blob_1005_,TRUE
20200803_1535_blob_514_oil,TRUE
20200803_1535_blob_495_oil,TRUE
20200803_1535_blob_551_oil,TRUE
20200803_1535_blob_717_,TRUE
20200803_1535_blob_853_,TRUE
20200803_1535_blob_662_oil,TRUE
20200803_0949_blob_595_,TRUE
20200803_1535_blob_1144_,TRUE
20200803_0949_blob_1558_,TRUE
20200803_1535_blob_859_,TRUE
20200803_0949_blob_708_,TRUE
20200803_1535_blob_702_,TRUE
20200803_1535_blob_653_oil,TRUE
20200803_1535_blob_1107_,TRUE
20200803_0949_blob_1571_,TRUE
20200803_1535_blob_652_oil,TRUE
20200803_1535_blob_537_oil,TRUE
20200803_1535_blob_541_oil,TRUE
20200803_1535_blob_554_oil,TRUE
20200803_1535_blob_521_oil,TRUE
20200803_1535_blob_648_oil,TRUE
20200803_1535_blob_661_oil,TRUE
20200803_1535_blob_647_oil,TRUE
20200803_1535_blob_667_oil,TRUE
20200803_1535_blob_684_oil,TRUE
20200803_1535_blob_719_oil,TRUE
20200803_1535_blob_644_oil,TRUE
20200803_1535_blob_898_oil,TRUE
20200803_1535_blob_873_,TRUE
20200803_1535_blob_793_,TRUE
20200803_1535_blob_1341_,TRUE
20200803_1535_blob_744_,TRUE
20200803_1535_blob_846_,TRUE
20200803_1535_blob_714_,TRUE
20200803_1535_blob_757_,TRUE
20200803_1535_blob_807_,TRUE
20200803_1535_blob_1164_,TRUE
20200803_1535_blob_1052_,TRUE
20200803_1535_blob_815_,TRUE
20200803_1535_blob_704_,TRUE
20200803_1535_blob_788_,TRUE
20200803_0949_blob_724_,TRUE
20200803_1535_blob_875_,TRUE
20200803_1535_blob_777_,TRUE
20200803_0949_blob_1210_,TRUE
20200803_1535_blob_712_,TRUE
20200803_1535_blob_924_oil,TRUE
20200803_1535_blob_743_oil,TRUE
20200803_1535_blob_1282_,TRUE
20200803_1535_blob_784_,TRUE
20200803_1535_blob_832_oil,TRUE
20200803_1535_blob_806_oil,TRUE
20200803_1535_blob_735_,TRUE
20200803_0949_blob_1082_,TRUE
20200803_1535_blob_1136_,TRUE
20200803_1535_blob_721_,TRUE
20200803_1535_blob_574_,TRUE
20200803_1535_blob_1383_,TRUE
20200803_1535_blob_1070_oil,TRUE
20200803_1535_blob_769_,TRUE
20200803_1535_blob_1271_oil,TRUE
20200803_1535_blob_771_oil,TRUE
20200803_1535_blob_1255_oil,TRUE
20200803_1535_blob_1099_,TRUE
20200803_1535_blob_946_,TRUE
20200803_1535_blob_901_,TRUE
20200803_1535_blob_1065_oil,TRUE
20200803_1535_blob_928_,TRUE
20200803_0949_blob_1567_,TRUE
20200803_1535_blob_831_,TRUE
20200803_1535_blob_993_,TRUE
20200803_1535_blob_746_,TRUE
20200803_0949_blob_745_,TRUE
20200803_0949_blob_995_,TRUE
20200803_1535_blob_795_,TRUE
20200803_1535_blob_970_,TRUE
20200803_1535_blob_965_,TRUE
20200803_1535_blob_762_,TRUE
20200803_1535_blob_800_,TRUE
20200803_1535_blob_1013_,TRUE
20200803_0949_blob_1043_,TRUE
20200803_1535_blob_1195_,TRUE
20200803_0949_blob_932_,TRUE
20200803_0949_blob_1194_,TRUE
20200803_0949_blob_1408_,TRUE
20200803_1535_blob_980_,TRUE
20200803_1535_blob_827_,TRUE
20200803_0949_blob_1363_,TRUE
20200803_0949_blob_760_,TRUE
20200803_1535_blob_870_,TRUE
20200803_0949_blob_676_,TRUE
20200803_1535_blob_1131_,TRUE
20200803_0949_blob_901_,TRUE
20200803_1535_blob_801_,TRUE
20200803_1535_blob_768_,TRUE
20200803_0949_blob_954_,TRUE
20200803_1535_blob_682_,TRUE
20200803_1535_blob_838_,TRUE
20200803_0949_blob_978_,TRUE
20200803_1535_blob_978_,TRUE
20200803_1535_blob_899_,TRUE
20200803_1535_blob_1160_,TRUE
20200803_1535_blob_696_oil,TRUE
20200803_1535_blob_1166_,TRUE
20200803_1535_blob_1256_,TRUE
20200803_1535_blob_912_,TRUE
20200803_1535_blob_802_,TRUE
20200803_0949_blob_2342_,TRUE
20200803_1535_blob_1033_,TRUE
20200803_1535_blob_886_,TRUE
20200803_1535_blob_723_oil,TRUE
20200803_1535_blob_837_,TRUE
20200803_1535_blob_962_,TRUE
20200803_1535_blob_914_,TRUE
20200803_1535_blob_1362_,TRUE
20200803_1535_blob_1200_,TRUE
20200803_1535_blob_851_,TRUE
20200803_1535_blob_1037_,TRUE
20200803_1535_blob_1028_,TRUE
20200803_1535_blob_868_,TRUE
20200803_1535_blob_1405_,TRUE
20200803_1535_blob_1184_,TRUE
20200803_0949_blob_904_,TRUE
20200803_1535_blob_833_,TRUE
20200803_1535_blob_736_,TRUE
20200803_0949_blob_928_,TRUE
20200803_1535_blob_1001_,TRUE
20200803_1535_blob_1067_,TRUE
20200803_1535_blob_940_,TRUE
20200803_1535_blob_663_,TRUE
20200803_1535_blob_909_,TRUE
20200803_0949_blob_2405_,TRUE
20200803_0949_blob_636_,TRUE
20200803_1535_blob_740_,TRUE
20200803_0949_blob_1852_,TRUE
20200803_1535_blob_1096_,TRUE
20200803_0949_blob_620_,TRUE
20200803_1535_blob_1069_,TRUE
20200803_1535_blob_939_,TRUE
20200803_1535_blob_676_,TRUE
20200803_0949_blob_869_,TRUE
20200803_0949_blob_947_,TRUE
20200803_0949_blob_914_,TRUE
20200803_1535_blob_863_,TRUE
20200803_0949_blob_920_,TRUE
20200803_1535_blob_907_,TRUE
20200803_1535_blob_957_,TRUE
20200803_0949_blob_871_,TRUE
20200803_1535_blob_1472_,TRUE
20200803_1535_blob_878_,TRUE
20200803_1535_blob_895_,TRUE
20200803_0949_blob_861_,TRUE
20200803_0949_blob_1057_,TRUE
20200803_0949_blob_783_,TRUE
20200803_1535_blob_1219_,TRUE
20200803_1535_blob_1134_,TRUE
20200803_1535_blob_1110_,TRUE
20200803_1535_blob_892_,TRUE
20200803_1535_blob_951_,TRUE
20200803_0949_blob_1712_,TRUE
20200803_0949_blob_1183_,TRUE
20200803_0949_blob_695_,TRUE
20200803_0949_blob_2009_,TRUE
20200803_0949_blob_1061_,TRUE
20200803_1535_blob_891_,TRUE
20200803_0949_blob_1011_,TRUE
20200803_0949_blob_1055_,TRUE
20200803_0949_blob_796_,TRUE
20200803_1535_blob_959_,TRUE
20200803_1535_blob_1163_,TRUE
20200803_1535_blob_745_,TRUE
20200803_0949_blob_699_,TRUE
20200803_0949_blob_635_,TRUE
20200803_0949_blob_1089_,TRUE
20200803_1535_blob_1043_,TRUE
20200803_0949_blob_1105_,TRUE
20200803_1535_blob_1031_,TRUE
20200803_0949_blob_1004_,TRUE
20200803_0949_blob_1072_,TRUE
20200803_1535_blob_1000_,TRUE
20200803_0949_blob_980_,TRUE
20200803_0949_blob_1451_,TRUE
20200803_0949_blob_1168_,TRUE
20200803_0949_blob_958_,TRUE
20200803_0949_blob_805_,TRUE
20200803_0949_blob_993_,TRUE
20200803_0949_blob_1815_,TRUE
20200803_1535_blob_1130_,TRUE
20200803_0949_blob_952_,TRUE
20200803_0949_blob_929_,TRUE
20200803_0949_blob_960_,TRUE
20200803_0949_blob_966_,TRUE
20200803_0949_blob_1433_,TRUE
20200803_0949_blob_814_,TRUE
20200803_1535_blob_1112_,TRUE
20200803_1535_blob_966_,TRUE
20200803_0949_blob_704_,TRUE
20200803_0949_blob_1214_,TRUE
20200803_0949_blob_1177_,TRUE
20200803_0949_blob_998_,TRUE
20200803_0949_blob_1733_,TRUE
20200803_0949_blob_1243_,TRUE
20200803_0949_blob_863_,TRUE
20200803_0949_blob_1161_,TRUE
20200803_0949_blob_829_,TRUE
20200803_0949_blob_1355_,TRUE
20200803_0949_blob_1956_,TRUE
20200803_0949_blob_1220_,TRUE
20200803_0949_blob_1025_,TRUE
20200803_0949_blob_2201_,TRUE
20200803_0949_blob_1360_,TRUE
20200803_0949_blob_1677_,TRUE
20200803_0949_blob_1375_,TRUE
20200803_0949_blob_1650_,TRUE
20200803_1535_blob_770_,TRUE
20200803_1535_blob_884_,TRUE
20200803_1535_blob_751_,TRUE
20200803_1535_blob_1301_,TRUE
20200803_1535_blob_727_,TRUE
20200803_1535_blob_798_,TRUE
20200803_0949_blob_794_,TRUE
20200803_1535_blob_1007_,TRUE
20200803_0949_blob_1322_,TRUE
20200803_1535_blob_917_,TRUE
20200803_0949_blob_1763_,TRUE
20200803_1535_blob_729_oil,TRUE
20200803_1535_blob_718_,TRUE
20200803_0949_blob_701_,TRUE
20200803_1535_blob_1093_,TRUE
20200803_1535_blob_1157_,TRUE
20200803_1535_blob_734_,TRUE
20200803_1535_blob_848_,TRUE
20200803_0949_blob_1166_oil,TRUE
20200803_1535_blob_1375_,TRUE
20200803_1535_blob_664_,TRUE
20200803_0949_blob_1115_,TRUE
20200803_1535_blob_716_,TRUE
20200803_1535_blob_810_,TRUE
20200803_1535_blob_930_,TRUE
20200803_1535_blob_862_,TRUE
20200803_1535_blob_765_,TRUE
20200803_1535_blob_724_oil,TRUE
20200803_1535_blob_1094_,TRUE
20200803_1535_blob_804_,TRUE
20200803_1535_blob_1260_,TRUE
20200803_1535_blob_860_,TRUE
20200803_1535_blob_1122_,TRUE
20200803_1535_blob_1042_,TRUE
20200803_1535_blob_1091_,TRUE
20200803_1535_blob_1111_,TRUE
20200803_1535_blob_1097_,TRUE
20200803_1535_blob_1029_,TRUE
20200803_1535_blob_1053_,TRUE
20200803_1535_blob_1092_,TRUE
20200803_1535_blob_1123_,TRUE
20200803_1535_blob_1089_,TRUE
20200803_1535_blob_1075_,TRUE
20200803_1535_blob_1377_,TRUE
20200803_1535_blob_908_,TRUE
20200803_1535_blob_1188_,TRUE
20200803_1535_blob_1150_,TRUE
20200803_1535_blob_1039_,TRUE
20200803_1535_blob_983_,TRUE
20200803_1535_blob_1047_,TRUE
20200803_1535_blob_998_,TRUE
20200803_1535_blob_871_,TRUE
20200803_1535_blob_1434_,TRUE
20200803_0949_blob_780_,TRUE
20200803_1535_blob_710_,TRUE
20200803_1535_blob_809_,TRUE
20200803_1535_blob_1025_,TRUE
20200803_0949_blob_1765_,TRUE
20200803_1535_blob_83_,TRUE
20200803_1535_blob_773_,TRUE
20200803_0949_blob_1294_,TRUE
20200803_1535_blob_749_,TRUE
20200803_0949_blob_1142_,TRUE
20200803_1535_blob_1051_,TRUE
20200803_1535_blob_879_,TRUE
20200803_0949_blob_1526_,TRUE
20200803_1535_blob_10_,TRUE
20200803_1535_blob_690_,TRUE
20200803_0949_blob_1672_,TRUE
20200803_1535_blob_1079_,TRUE
20200803_1535_blob_1014_,TRUE
